lat,lon,satelite,data
  -7.473970, -35.538390,AQUA_M-T,2026-03-27 17:45:00
  -6.820700, -35.680320,AQUA_M-T,2026-03-27 17:45:00
  -6.713410, -40.925940,AQUA_M-T,2026-03-27 17:45:00
  -6.713350, -40.919050,AQUA_M-T,2026-03-27 17:45:00
  -6.614930, -35.233570,AQUA_M-T,2026-03-27 17:45:00
  -6.302370, -35.417390,AQUA_M-T,2026-03-27 17:45:00
  -6.039910, -35.653850,AQUA_M-T,2026-03-27 17:45:00
  -6.038610, -35.645000,AQUA_M-T,2026-03-27 17:45:00
 -15.806950, -40.986330,AQUA_M-T,2026-03-27 17:41:00
 -11.577170, -37.838630,AQUA_M-T,2026-03-27 17:43:00
 -11.575660, -37.827750,AQUA_M-T,2026-03-27 17:43:00
 -11.530970, -37.951500,AQUA_M-T,2026-03-27 17:43:00
   5.251900, -66.011530,NPP-375,2026-03-27 17:13:00
   5.251270, -66.015210,NPP-375,2026-03-27 17:13:00
   5.251030, -66.011830,NPP-375,2026-03-27 17:13:00
   9.998760, -63.374240,NPP-375,2026-03-27 17:15:00
   9.998100, -63.378090,NPP-375,2026-03-27 17:15:00
   7.952820, -68.306130,NPP-375,2026-03-27 17:15:00
   3.855140, -58.938630,NPP-375,2026-03-27 17:13:00
   3.797100, -59.303990,NPP-375,2026-03-27 17:13:00
   3.761810, -59.291390,NPP-375,2026-03-27 17:13:00
  10.623660, -62.374540,NPP-375,2026-03-27 17:15:00
  10.622760, -62.379730,NPP-375,2026-03-27 17:15:00
   3.563940, -59.625650,NPP-375,2026-03-27 17:13:00
   3.562540, -59.634520,NPP-375,2026-03-27 17:13:00
   3.560210, -59.625070,NPP-375,2026-03-27 17:13:00
   3.554520, -59.356970,NPP-375,2026-03-27 17:13:00
   3.553690, -59.355950,NPP-375,2026-03-27 17:13:00
   2.378540, -59.508130,NPP-375,2026-03-27 17:13:00
  11.018980, -68.797720,NPP-375,2026-03-27 17:15:00
  10.727050, -68.703860,NPP-375,2026-03-27 17:15:00
  10.724250, -69.078140,NPP-375,2026-03-27 17:15:00
  10.723170, -69.081470,NPP-375,2026-03-27 17:15:00
  10.029970, -63.412600,NPP-375,2026-03-27 17:15:00
  10.024670, -64.076010,NPP-375,2026-03-27 17:15:00
 -37.434830, -58.134510,NPP-375,2026-03-27 17:02:00
  10.029140, -66.298700,NPP-375,2026-03-27 17:15:00
  10.003430, -65.811610,NPP-375,2026-03-27 17:15:00
  10.037070, -66.945610,NPP-375,2026-03-27 17:15:00
  10.035500, -66.945740,NPP-375,2026-03-27 17:15:00
  10.012780, -67.438800,NPP-375,2026-03-27 17:15:00
  10.021850, -66.806880,NPP-375,2026-03-27 17:15:00
 -36.872410, -56.968150,NPP-375,2026-03-27 17:02:00
 -36.869850, -56.968890,NPP-375,2026-03-27 17:02:00
 -28.035940, -56.561750,NPP-375,2026-03-27 17:05:00
 -28.035410, -56.556150,NPP-375,2026-03-27 17:05:00
 -29.000260, -56.483840,NPP-375,2026-03-27 17:05:00
 -28.448340, -56.392420,NPP-375,2026-03-27 17:05:00
 -26.591990, -56.722080,NPP-375,2026-03-27 17:07:00
 -27.257040, -56.674180,NPP-375,2026-03-27 17:05:00
 -27.256390, -56.670850,NPP-375,2026-03-27 17:05:00
 -27.251110, -56.665870,NPP-375,2026-03-27 17:05:00
 -27.261770, -56.673610,NPP-375,2026-03-27 17:05:00
 -27.261120, -56.670280,NPP-375,2026-03-27 17:05:00
 -27.256530, -56.668640,NPP-375,2026-03-27 17:05:00
 -27.246930, -56.671960,NPP-375,2026-03-27 17:05:00
 -26.850400, -56.752290,NPP-375,2026-03-27 17:05:00
 -26.850290, -56.754450,NPP-375,2026-03-27 17:05:00
 -26.569740, -58.039960,NPP-375,2026-03-27 17:07:00
 -26.998960, -57.551690,NPP-375,2026-03-27 17:05:00
 -26.998380, -57.545480,NPP-375,2026-03-27 17:05:00
 -25.407000, -55.181960,NPP-375,2026-03-27 17:07:00
 -25.471590, -55.582140,NPP-375,2026-03-27 17:07:00
 -24.794230, -57.405000,NPP-375,2026-03-27 17:07:00
 -26.569170, -58.033410,NPP-375,2026-03-27 17:07:00
 -26.564060, -58.033970,NPP-375,2026-03-27 17:07:00
 -26.311320, -58.223930,NPP-375,2026-03-27 17:07:00
 -26.564630, -58.040530,NPP-375,2026-03-27 17:07:00
 -26.311620, -58.227280,NPP-375,2026-03-27 17:07:00
 -26.465460, -59.036690,NPP-375,2026-03-27 17:07:00
 -24.636020, -54.467120,NPP-375,2026-03-27 17:07:00
 -24.167230, -55.057470,NPP-375,2026-03-27 17:05:00
 -23.777970, -55.643420,NPP-375,2026-03-27 17:05:00
 -24.478820, -56.311890,NPP-375,2026-03-27 17:07:00
 -24.173850, -56.009460,NPP-375,2026-03-27 17:05:00
 -24.112700, -56.300190,NPP-375,2026-03-27 17:05:00
 -24.790370, -57.402040,NPP-375,2026-03-27 17:07:00
 -24.146900, -60.221420,NPP-375,2026-03-27 17:05:00
 -24.507650, -62.647310,NPP-375,2026-03-27 17:05:00
 -22.920120, -57.239070,NPP-375,2026-03-27 17:05:00
 -22.707000, -57.501250,NPP-375,2026-03-27 17:05:00
 -22.919570, -57.233910,NPP-375,2026-03-27 17:05:00
 -21.976400, -61.117920,NPP-375,2026-03-27 17:05:00
 -21.972710, -61.119610,NPP-375,2026-03-27 17:05:00
   9.597690, -61.783160,NPP-375,2026-03-27 17:15:00
   9.596860, -61.788090,NPP-375,2026-03-27 17:15:00
   9.596040, -61.793010,NPP-375,2026-03-27 17:15:00
   9.595220, -61.797940,NPP-375,2026-03-27 17:15:00
   9.594620, -61.777590,NPP-375,2026-03-27 17:15:00
   9.592150, -61.792370,NPP-375,2026-03-27 17:15:00
   9.589910, -61.781850,NPP-375,2026-03-27 17:15:00
   9.589090, -61.786790,NPP-375,2026-03-27 17:15:00
   9.588260, -61.791710,NPP-375,2026-03-27 17:15:00
   9.587440, -61.796640,NPP-375,2026-03-27 17:15:00
  10.620850, -62.376780,NPP-375,2026-03-27 17:15:00
  10.617840, -62.297370,NPP-375,2026-03-27 17:15:00
  10.604020, -62.799560,NPP-375,2026-03-27 17:15:00
  10.596200, -62.627350,NPP-375,2026-03-27 17:15:00
  10.585090, -62.566140,NPP-375,2026-03-27 17:15:00
  10.574660, -62.970080,NPP-375,2026-03-27 17:15:00
  10.568490, -62.468960,NPP-375,2026-03-27 17:15:00
  10.567920, -62.472320,NPP-375,2026-03-27 17:15:00
  10.567360, -62.548680,NPP-375,2026-03-27 17:15:00
  10.448210, -63.123390,NPP-375,2026-03-27 17:15:00
  10.338330, -62.986190,NPP-375,2026-03-27 17:15:00
  10.328720, -63.041590,NPP-375,2026-03-27 17:15:00
  10.115680, -63.146550,NPP-375,2026-03-27 17:15:00
  10.093010, -63.102740,NPP-375,2026-03-27 17:15:00
   9.993410, -63.619640,NPP-375,2026-03-27 17:15:00
   9.992390, -63.620340,NPP-375,2026-03-27 17:15:00
   9.981090, -63.740140,NPP-375,2026-03-27 17:15:00
   9.979760, -63.722150,NPP-375,2026-03-27 17:15:00
   9.978980, -63.726570,NPP-375,2026-03-27 17:15:00
   9.974280, -63.363000,NPP-375,2026-03-27 17:15:00
   9.970040, -63.362050,NPP-375,2026-03-27 17:15:00
   9.959360, -64.044820,NPP-375,2026-03-27 17:15:00
   9.847050, -63.526970,NPP-375,2026-03-27 17:15:00
   9.846340, -63.531080,NPP-375,2026-03-27 17:15:00
   9.555560, -64.123370,NPP-375,2026-03-27 17:15:00
  10.608150, -63.500530,NPP-375,2026-03-27 17:15:00
  10.570410, -63.515030,NPP-375,2026-03-27 17:15:00
  10.456080, -63.476330,NPP-375,2026-03-27 17:15:00
  10.400600, -63.398830,NPP-375,2026-03-27 17:15:00
  10.358060, -64.079900,NPP-375,2026-03-27 17:15:00
  10.356300, -63.628130,NPP-375,2026-03-27 17:15:00
  10.344920, -64.050680,NPP-375,2026-03-27 17:15:00
  10.342710, -63.363030,NPP-375,2026-03-27 17:15:00
  10.342560, -64.166780,NPP-375,2026-03-27 17:15:00
  10.341710, -64.051600,NPP-375,2026-03-27 17:15:00
  10.337290, -64.170380,NPP-375,2026-03-27 17:15:00
  10.336510, -64.174770,NPP-375,2026-03-27 17:15:00
  10.335730, -64.179150,NPP-375,2026-03-27 17:15:00
  10.334910, -64.183740,NPP-375,2026-03-27 17:15:00
  10.330490, -64.182580,NPP-375,2026-03-27 17:15:00
  10.329620, -64.187420,NPP-375,2026-03-27 17:15:00
  10.328300, -64.183390,NPP-375,2026-03-27 17:15:00
  10.314390, -63.529180,NPP-375,2026-03-27 17:15:00
  10.310150, -63.528080,NPP-375,2026-03-27 17:15:00
  10.301070, -63.503750,NPP-375,2026-03-27 17:15:00
  10.297810, -63.656350,NPP-375,2026-03-27 17:15:00
  10.297100, -63.656650,NPP-375,2026-03-27 17:15:00
